name,value,year,LastValue,rank
Fenerbahçe Beko,9999999,1,0,1
Olympiacos Piraeus,1,1,0,2
CSKA Moscow,1,1,0,3
Anadolu Efes,1,1,0,4
Real Madrid,1,1,0,5
AX Armani Exchange Olimpia Milan,1,1,0,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1,0,7
Panathinaikkos OPAP Athens,1,1,0,8
Maccabi FOX Tel Aviv,0,1,0,9
Zalgris Kaunas,0,1,0,10
Buducnost VOLI Podgorica,0,1,0,11
Darussafaka Tekfen,0,1,0,12
FC Bayern Munich,0,1,0,13
FC Barcelona Lassa,0,1,0,14
Khimki Moscow Region,0,1,0,15
Herbalife Gran Canaria,0,1,0,16
Fenerbahçe Beko,2,2,1,1
Olympiacos Piraeus,2,2,1,2
CSKA Moscow,2,2,1,3
Anadolu Efes,1,2,1,6
Real Madrid,2,2,1,4
AX Armani Exchange Olimpia Milan,1,2,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2,1,9
Panathinaikkos OPAP Athens,1,2,1,8
Maccabi FOX Tel Aviv,1,2,0,13
Zalgris Kaunas,1,2,0,5
Buducnost VOLI Podgorica,0,2,0,14
Darussafaka Tekfen,1,2,0,10
FC Bayern Munich,1,2,0,11
FC Barcelona Lassa,0,2,0,15
Khimki Moscow Region,0,2,0,16
Herbalife Gran Canaria,1,2,0,12
Fenerbahçe Beko,3,3,2,2
Olympiacos Piraeus,2,3,2,7
CSKA Moscow,3,3,2,3
Anadolu Efes,2,3,1,6
Real Madrid,3,3,2,1
AX Armani Exchange Olimpia Milan,2,3,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3,1,12
Panathinaikkos OPAP Athens,2,3,1,5
Maccabi FOX Tel Aviv,1,3,1,8
Zalgris Kaunas,1,3,1,9
Buducnost VOLI Podgorica,0,3,0,15
Darussafaka Tekfen,1,3,1,11
FC Bayern Munich,1,3,1,13
FC Barcelona Lassa,1,3,0,10
Khimki Moscow Region,0,3,0,16
Herbalife Gran Canaria,1,3,1,14
Fenerbahçe Beko,3,4,3,3
Olympiacos Piraeus,3,4,2,6
CSKA Moscow,4,4,3,2
Anadolu Efes,3,4,2,5
Real Madrid,4,4,3,1
AX Armani Exchange Olimpia Milan,3,4,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4,1,13
Panathinaikkos OPAP Athens,2,4,2,7
Maccabi FOX Tel Aviv,1,4,1,11
Zalgris Kaunas,2,4,1,8
Buducnost VOLI Podgorica,0,4,0,16
Darussafaka Tekfen,1,4,1,12
FC Bayern Munich,2,4,1,10
FC Barcelona Lassa,2,4,1,9
Khimki Moscow Region,0,4,0,15
Herbalife Gran Canaria,1,4,1,14
Fenerbahçe Beko,4,5,3,3
Olympiacos Piraeus,3,5,3,8
CSKA Moscow,5,5,4,2
Anadolu Efes,3,5,3,7
Real Madrid,5,5,4,1
AX Armani Exchange Olimpia Milan,4,5,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5,1,9
Panathinaikkos OPAP Athens,3,5,2,5
Maccabi FOX Tel Aviv,1,5,1,13
Zalgris Kaunas,2,5,2,10
Buducnost VOLI Podgorica,0,5,0,16
Darussafaka Tekfen,1,5,1,14
FC Bayern Munich,2,5,2,11
FC Barcelona Lassa,3,5,2,6
Khimki Moscow Region,1,5,0,12
