name,value,year,lastValue,rank,color
Fenerbahçe Beko,1,1,0,1,42 96 61
Olympiacos Piraeus,1,1,0,2,346 100 39
CSKA Moscow,1,1,0,3,374 100 42
Anadolu Efes,1,1,0,4,216 100 32
Real Madrid,1,1,0,5,288 48 36
AX Armani Exchange Olimpia Milan,1,1,0,6,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,1,1,0,7,343 100 43
Panathinaikkos OPAP Athens,1,1,0,8,149 100 24
Maccabi FOX Tel Aviv,0,1,0,9,42 96 61
Zalgris Kaunas,0,1,0,10,149 100 24
Buducnost VOLI Podgorica,0,1,0,11,216 100 32
Darussafaka Tekfen,0,1,0,12,149 100 24
FC Bayern Munich,0,1,0,13,374 100 42
FC Barcelona Lassa,0,1,0,14,346 100 39
Khimki Moscow Region,0,1,0,15,42 96 61
Herbalife Gran Canaria,0,1,0,16,42 96 61
Fenerbahçe Beko,2,2,1,1,42 96 61
Olympiacos Piraeus,2,2,1,2,346 100 39
CSKA Moscow,2,2,1,3,374 100 42
Anadolu Efes,1,2,1,6,216 100 32
Real Madrid,2,2,1,4,288 48 36
AX Armani Exchange Olimpia Milan,1,2,1,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,1,2,1,9,343 100 43
Panathinaikkos OPAP Athens,1,2,1,8,149 100 24
Maccabi FOX Tel Aviv,1,2,0,13,42 96 61
Zalgris Kaunas,1,2,0,5,149 100 24
Buducnost VOLI Podgorica,0,2,0,14,216 100 32
Darussafaka Tekfen,1,2,0,10,149 100 24
FC Bayern Munich,1,2,0,11,374 100 42
FC Barcelona Lassa,0,2,0,15,346 100 39
Khimki Moscow Region,0,2,0,16,42 96 61
Herbalife Gran Canaria,1,2,0,12,42 96 61
Fenerbahçe Beko,3,3,2,2,42 96 61
Olympiacos Piraeus,2,3,2,7,346 100 39
CSKA Moscow,3,3,2,3,374 100 42
Anadolu Efes,2,3,1,6,216 100 32
Real Madrid,3,3,2,1,288 48 36
AX Armani Exchange Olimpia Milan,2,3,1,4,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,1,3,1,12,343 100 43
Panathinaikkos OPAP Athens,2,3,1,5,149 100 24
Maccabi FOX Tel Aviv,1,3,1,8,42 96 61
Zalgris Kaunas,1,3,1,9,149 100 24
Buducnost VOLI Podgorica,0,3,0,15,216 100 32
Darussafaka Tekfen,1,3,1,11,149 100 24
FC Bayern Munich,1,3,1,13,374 100 42
FC Barcelona Lassa,1,3,0,10,346 100 39
