name,value,year,lastValue,rank,,name,value,year,lastValue,rank,
Real Madrid,NA,2016,NA,1,,Real Madrid,6160,2017,3070,1,2763
CSKA Moscow,NA,2016,NA,2,,CSKA Moscow,6257,2017,3063,2,2757
Anadolu Efes,NA,2016,NA,3,,Anadolu Efes,5191,2017,2870,3,2583
Olympiacos,NA,2016,NA,4,,Olympiacos,5506,2017,2863,4,2577
Baskoina Vitoria Gasteiz,NA,2016,NA,5,,Baskoina Vitoria Gasteiz,5525,2017,2705,5,2435
Darussafaka Dogus,NA,2016,NA,6,,Darussafaka Dogus,2691,2017,2691,6,2422
Fenerbahcee Beko,NA,2016,NA,7,,Fenerbahcee Beko,5609,2017,2680,7,2412
Panathinaikos,NA,2016,NA,8,,Panathinaikos,5221,2017,2520,8,2268
Olimpia Milano,NA,2016,NA,9,,Olimpia Milano,4872,2017,2422,9,2180
Brose Bamberg,NA,2016,NA,10,,Brose Bamberg,4706,2017,2397,10,2158
Zalgris Kaunas,NA,2016,NA,11,,Zalgris Kaunas,5278,2017,2350,11,2115
Galatasaray ,NA,2016,NA,12,,Galatasaray ,2345,2017,2345,12,2111
Maccabi Tel Aviv,NA,2016,NA,13,,Maccabi Tel Aviv,4781,2017,2341,13,2107
Unics Kazan,NA,2016,NA,14,,Unics Kazan,2298,2017,2298,14,2069
FC Barcelona,NA,2016,NA,15,,FC Barcelona,4697,2017,2241,15,2017
Crvena Zvezda,NA,2016,NA,16,,Crvena Zvezda,4542,2017,2209,16,1989
Khimki,NA,2016,NA,17,,Khimki,2684,2017,0,17,0
Unicaja Malaga,NA,2016,NA,18,,Unicaja Malaga,2387,2017,0,18,0
Valencia Basket,NA,2016,NA,19,,Valencia Basket,2360,2017,0,19,0
Real Madrid,NA,2016,NA,1
CSKA Moscow,NA,2016,NA,2
Anadolu Efes,NA,2016,NA,3
Olympiacos,NA,2016,NA,4
Baskoina Vitoria Gasteiz,NA,2016,NA,5
Darussafaka Dogus,NA,2016,NA,6
Fenerbahcee Beko,NA,2016,NA,7
Panathinaikos,NA,2016,NA,8
Olimpia Milano,NA,2016,NA,9
Brose Bamberg,NA,2016,NA,10
Zalgris Kaunas,NA,2016,NA,11
Galatasaray ,NA,2016,NA,12
Maccabi Tel Aviv,NA,2016,NA,13
Unics Kazan,NA,2016,NA,14
FC Barcelona,NA,2016,NA,15
Crvena Zvezda,NA,2016,NA,16
Khimki,NA,2016,NA,17
Unicaja Malaga,NA,2016,NA,18
Valencia Basket,NA,2016,NA,19
Real Madrid,307,2016.1,NA,1
CSKA Moscow,307,2016.1,NA,2
Anadolu Efes,287,2016.1,NA,3
Olympiacos,287,2016.1,NA,4
Baskoina Vitoria Gasteiz,271,2016.1,NA,5
Darussafaka Dogus,270,2016.1,NA,6
Fenerbahcee Beko,268,2016.1,NA,7
Panathinaikos,252,2016.1,NA,8
Olimpia Milano,243,2016.1,NA,9
Brose Bamberg,240,2016.1,NA,10
Zalgris Kaunas,235,2016.1,NA,11
Galatasaray ,235,2016.1,NA,12
Maccabi Tel Aviv,235,2016.1,NA,13
Unics Kazan,230,2016.1,NA,14
FC Barcelona,225,2016.1,NA,15
Crvena Zvezda,221,2016.1,NA,16
Khimki,0,2016.1,NA,17
Unicaja Malaga,0,2016.1,NA,18
Valencia Basket,0,2016.1,NA,19
Real Madrid,614,2016.2,307,1
CSKA Moscow,613,2016.2,307,2
Anadolu Efes,574,2016.2,287,3
Olympiacos,573,2016.2,287,4
