name,value,year,LastValue,rank
Fenerbahçe Beko,1,1,,1
Olympiacos Piraeus,1,1,,2
CSKA Moscow,1,1,,3
Anadolu Efes,1,1,,4
Real Madrid,1,1,,5
AX Armani Exchange Olimpia Milan,1,1,,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1,,7
Panathinaikkos OPAP Athens,1,1,,8
Maccabi FOX Tel Aviv,0,1,,9
Zalgris Kaunas,0,1,,10
Buducnost VOLI Podgorica,0,1,,11
Darussafaka Tekfen,0,1,,12
FC Bayern Munich,0,1,,13
FC Barcelona Lassa,0,1,,14
Khimki Moscow Region,0,1,,15
Herbalife Gran Canaria,0,1,,16
Fenerbahçe Beko,2,2,,1
Olympiacos Piraeus,2,2,,2
CSKA Moscow,2,2,,3
Anadolu Efes,1,2,,6
Real Madrid,2,2,,4
AX Armani Exchange Olimpia Milan,1,2,,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2,,9
Panathinaikkos OPAP Athens,1,2,,8
Maccabi FOX Tel Aviv,1,2,,13
Zalgris Kaunas,1,2,,5
Buducnost VOLI Podgorica,0,2,,14
Darussafaka Tekfen,1,2,,10
FC Bayern Munich,1,2,,11
FC Barcelona Lassa,0,2,,15
Khimki Moscow Region,0,2,,16
Herbalife Gran Canaria,1,2,,12
Fenerbahçe Beko,3,3,,2
Olympiacos Piraeus,2,3,,7
CSKA Moscow,3,3,,3
Anadolu Efes,2,3,,6
Real Madrid,3,3,,1
AX Armani Exchange Olimpia Milan,2,3,,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3,,12
Panathinaikkos OPAP Athens,2,3,,5
Maccabi FOX Tel Aviv,1,3,,8
Zalgris Kaunas,1,3,,9
Buducnost VOLI Podgorica,0,3,,15
Darussafaka Tekfen,1,3,,11
FC Bayern Munich,1,3,,13
FC Barcelona Lassa,1,3,,10
Khimki Moscow Region,0,3,,16
Herbalife Gran Canaria,1,3,,14
Fenerbahçe Beko,3,4,,3
Olympiacos Piraeus,3,4,,6
CSKA Moscow,4,4,,2
Anadolu Efes,3,4,,5
Real Madrid,4,4,,1
AX Armani Exchange Olimpia Milan,3,4,,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4,,13
Panathinaikkos OPAP Athens,2,4,,7
Maccabi FOX Tel Aviv,1,4,,11
Zalgris Kaunas,2,4,,8
Buducnost VOLI Podgorica,0,4,,16
Darussafaka Tekfen,1,4,,12
FC Bayern Munich,2,4,,10
FC Barcelona Lassa,2,4,,9
Khimki Moscow Region,0,4,,15
Herbalife Gran Canaria,1,4,,14
Fenerbahçe Beko,4,5,,3
Olympiacos Piraeus,3,5,,8
CSKA Moscow,5,5,,2
Anadolu Efes,3,5,,7
Real Madrid,5,5,,1
AX Armani Exchange Olimpia Milan,4,5,,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5,,9
Panathinaikkos OPAP Athens,3,5,,5
Maccabi FOX Tel Aviv,1,5,,13
Zalgris Kaunas,2,5,,10
Buducnost VOLI Podgorica,0,5,,16
Darussafaka Tekfen,1,5,,14
FC Bayern Munich,2,5,,11
FC Barcelona Lassa,3,5,,6
Khimki Moscow Region,1,5,,12
Herbalife Gran Canaria,1,5,,15
